a0,44.81,38.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
a0,657.00,657.00,657.00,656.00,656.00,657.00,657.00,656.00,657.00,657.00
a0,25.10,24.95,24.45,24.40,24.35,24.25,0.00,0.00,0.00,0.00
a0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
a0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
a0,657.00,657.00,657.00,657.00,657.00,657.00,657.00,657.00,657.00,657.00
a0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
a0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
a0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
a0,657.00,657.00,657.00,657.00,657.00,657.00,657.00,657.00,656.00,656.00
a0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
a0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
a0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
a0,657.00,657.00,657.00,657.00,657.00,657.00,657.00,657.00,656.00,656.00
a0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
a0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
a0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
a0,656.00,656.00,656.00,656.00,656.00,657.00,656.00,657.00,656.00,657.00
a0,24.50,0.00,24.55,24.40,24.55,24.40,24.55,24.60,24.50,24.50
a0,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00
a0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
a0,656.00,656.00,656.00,656.00,656.00,657.00,656.00,657.00,656.00,657.00
a0,24.50,0.00,24.55,24.40,24.55,24.40,24.55,24.60,24.50,24.50
a0,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00
a0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
a0,657.00,657.00,657.00,657.00,657.00,657.00,657.00,657.00,657.00,657.00
a0,24.35,24.40,24.30,24.35,0.00,0.00,0.00,0.00,0.00,0.00
a0,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
a0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
a0,657.00,657.00,657.00,656.00,657.00,658.00,658.00,658.00,657.00,657.00
a0,0.00,0.00,0.00,24.55,24.60,24.55,0.00,0.00,0.00,0.00
a0,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
a0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
a0,657.00,657.00,657.00,656.00,657.00,658.00,658.00,658.00,657.00,657.00
a0,0.00,0.00,0.00,24.55,24.60,24.55,0.00,0.00,0.00,0.00
a0,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
a0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
a0,658.00,657.00,658.00,658.00,658.00,658.00,658.00,658.00,658.00,658.00
a0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
a0,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
a0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
a0,658.00,657.00,658.00,658.00,658.00,658.00,658.00,658.00,658.00,658.00
a0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
a0,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
a0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
a0,658.00,657.00,657.00,658.00,657.00,658.00,657.00,658.00,657.00,657.00
a0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
a0,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
a0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
a0,657.00,657.00,657.00,657.00,657.00,658.00,657.00,657.00,657.00,657.00
a0,0.00,24.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
a0,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
a0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
a0,657.00,657.00,657.00,657.00,657.00,658.00,657.00,657.00,657.00,657.00
a0,0.00,24.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
a0,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
a0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
a0,658.00,657.00,657.00,657.00,658.00,657.00,657.00,658.00,657.00,657.00
a0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
a0,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00